latitude,longitude,name,comments,rating,cp
19.432866,-99.1656024,OXXO Nazas,8,2.9,11360
19.4357407,-99.1830782,Oxxo,8,3.4,11360
19.4480133,-99.151598,Oxxo,8,1.5,11360
19.4373073,-99.2118557,Oxxo,12,2.8,11360
19.4500977,-99.146546,Oxxo,50,3.4,11360
19.4229412,-99.1720308,Oxxo,8,4.3,11360
19.431074,-99.1636868,Oxxo,51,4.2,11360
19.4962356,-99.1737881,OXXO,6,3.3,11360
19.4288221,-99.1684585,Oxxo Rio Tíber,22,2.4,11360
19.4752154,-99.175162,Oxxo Granjas,19,3.7,11360
19.4326957,-99.1523121,OXXO Abraham Gonzales,2,3.0,11360
19.4309228,-99.1566717,OXXO Milán,17,3.8,11360
19.4159485,-99.1774942,Oxxo,12,4.2,11360
19.4131262,-99.1817978,Oxxo,73,3.6,11360
19.4375804,-99.1880746,Oxxo Hegel,26,3.2,11360
19.4332071,-99.1442965,Oxxo,8,2.4,11360
19.4526227,-99.145337,Oxxo,18,3.3,11360
19.4216495,-99.1650715,Oxxo,17,2.6,11360
19.470469,-99.1897905,Oxxo,15,3.8,11360
19.4265881,-99.1733645,Oxxo Duero,18,3.1,11360
19.4481738,-99.1522616,Oxxo,1,3.7,11360
19.4371977,-99.153686,OXXO Revolución,25,2.4,11360
19.4316655,-99.1619073,Oxxo Marne,12,2.1,11360
19.406939,-99.1756382,Oxxo,19,4.0,11360
